Nama Kost,Wilayah,Harga,Ukuran (m2),Jumlah Fasilitas,Segmen_Pasar,all_facilities_bs
Kost Arbain Babakan Madang Bogor,Bogor,Rp 1.000.000,16.0,23,Ekonomis,4 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Meja Rias; Lemari Baju; Bantal; Cermin; Wastafel; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; Penjaga Kos; R. Tamu; R. Jemur; R. Santai; Dapur; Dispenser; Jemuran; Jual Makanan; Parkir Mobil; Parkir Motor
Kost Arcadia Coliving Executive Periuk Tangerang,Tangerang,Rp 2.000.000,12.0,25,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Cermin; Guling; Jendela; TV Kabel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; R. Cuci; Mesin Cuci; Penjaga Kos; R. Jemur; Dapur; Dispenser; CCTV; Jemuran; Parkir Motor
Kost Arcahome Tipe A Grogol Petamburan Jakarta Barat,Jakarta Barat,Rp 2.000.000,9.0,23,Premium,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Laundry; Penjaga Kos; R. Makan; Dapur; CCTV; Taman; Parkir Motor
Kost Arga Wilis Tipe B Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 1.700.000,9.0,19,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Lemari Baju; Bantal; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Jemur; R. Makan; R. Santai; Dapur; Jemuran; R. Keluarga; Parkir Motor & Sepeda
Kost Arga Wilis Tipe VIP 19B Pondok Aren Tangerang Selatan,Tangerang Selatan,Rp 2.200.000,9.0,20,Standar,3 x 3 meter; Termasuk listrik; AC; Meja; Lemari Baju; Kulkas; Jendela; Bantal; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; R. Tamu; R. Jemur; R. Makan; Dapur; Jemuran; Pengurus Kos; Parkir Mobil; Parkir Motor
Kost Ariosjo Jaya Cikarang Selatan Bekasi,Bekasi,Rp 1.200.000,9.0,20,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Kloset Duduk; Ember mandi; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; Dapur; CCTV; Jemuran; Kartu Akses; Balcon; Parkir Motor; Parkir Motor & Sepeda
Kost Arjuna Beji Depok,Depok,Rp 800.000,12.0,7,Ekonomis,3 x 4 meter; Termasuk listrik; Kasur; Lemari Baju; Ventilasi; Jendela; K. Mandi Dalam; WiFi; Penjaga Kos
Kost Armande Moncokerto 13 Matraman Jakarta Timur,Jakarta Timur,Rp 2.100.000,21.0,17,Ekonomis,6 x 3.5 meter; Tidak termasuk listrik; Ventilasi; Dapur Pribadi; Jendela; Wastafel; K. Mandi Dalam; Kloset Jongkok; Shower; Penjaga Kos; R. Tamu; R. Jemur; Dapur; Jemuran; Pengurus Kos; R. Keluarga; Rooftop; Parkir Motor; Parkir Sepeda
Kost Armijo Tipe B Plus Pulo Gadung Jakarta Timur,Jakarta Timur,Rp 2.480.000,12.0,27,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Wastafel; Kursi; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Shower; Air panas; WiFi; Kulkas; R. Cuci; Mesin Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Parkir Motor; Parkir Motor & Sepeda
Kost Arnanda Beji Depok,Depok,Rp 725.000,20.0,7,Ekonomis,4 x 5 meter; Termasuk listrik; Kasur; Lemari Baju; K. Mandi Dalam; Kloset Jongkok; WiFi; Jemuran; Parkir Motor
Kost Arnnika House Sukmajaya Depok,Depok,Rp 800.000,14.0,17,Ekonomis,3.5 x 4 meter; Tidak termasuk listrik; Kasur; Lemari Baju; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Bak mandi; WiFi; Penjaga Kos; CCTV; Balcon; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Arrayyan Living Ciampea Bogor,Bogor,Rp 2.150.000,12.0,25,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Penjaga Kos; R. Jemur; R. Santai; Dapur; TV; Taman; CCTV; Pengurus Kos; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Ashera Citraland Tipe B Grogol Petamburan Jakarta Barat,Jakarta Barat,Rp 1.750.000,7.5,26,Standar,2.5 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Wastafel; Cleaning service; Kursi; Kloset Duduk; Kloset Jongkok; K. Mandi Luar; Shower; WiFi; Kulkas; Penjaga Kos; Laundry; R. Tamu; R. Makan; R. Jemur; Dapur; Dispenser; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Ashri By Hutama IPB Tipe A Dramaga Bogor,Bogor,Rp 1.200.000,9.0,23,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Shower; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Jemur; Jemuran; Jual Makanan; Pengurus Kos; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Ashri By Hutama IPB Tipe B Dramaga Bogor,Bogor,Rp 1.300.000,12.0,24,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cleaning service; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Penjaga Kos; R. Jemur; Jemuran; Jual Makanan; K. Mandi Luar; Pengurus Kos; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Asri Depan RSUD Tipe A Cibinong Bogor,Bogor,Rp 1.400.000,9.0,12,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Wastafel; Kipas Angin; K. Mandi Dalam; Kloset Jongkok; Bak mandi; R. Jemur; Dapur; Parkir Motor; Parkir Sepeda
Kost Asri Depan RSUD Tipe B Cibinong Bogor,Bogor,Rp 1.800.000,12.0,12,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Wastafel; K. Mandi Dalam; Kloset Jongkok; Bak mandi; R. Jemur; Dapur; Parkir Motor; Parkir Sepeda
Kost Aster Cikarang Barat,Bekasi,Rp 1.100.000,9.0,19,Premium,3 x 3 meter; Termasuk listrik; AC; Kasur; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; Air panas; WiFi; R. Cuci; R. Tamu; R. Makan; R. Jemur; R. Santai; Dapur; Dispenser; TV; Taman; Parkir Mobil; Parkir Motor
Kost Asya Cikarang Utara Bekasi,Bekasi,Rp 1.400.000,12.0,20,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; TV; Lemari Baju; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; WiFi; Laundry; Mesin Cuci; R. Jemur; Dapur; CCTV; Jemuran; Jual Makanan; Parkir Motor & Sepeda
Kost Asya Tipe A Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 1.550.000,6.0,21,Premium,2 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Kursi; K. Mandi Luar; Shower; Air panas; Kulkas; R. Cuci; R. Jemur; R. Makan; Dapur; Dispenser; Balcon; CCTV; Jemuran; Pengurus Kos; Parkir Motor
Kost Asya Tipe B Kelapa Gading Jakarta Utara,Jakarta Utara,Rp 1.650.000,9.0,21,Premium,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Kursi; K. Mandi Luar; Shower; Air panas; WiFi; Kulkas; R. Cuci; R. Jemur; R. Makan; Dapur; Dispenser; Balcon; CCTV; Jemuran; Parkir Motor
Kost Asyaatun Tipe A Cibinong Bogor,Bogor,Rp 1.200.000,20.0,22,Ekonomis,4 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; Lemari Baju; Kursi; K. Mandi Dalam; Ember mandi; Shower; R. Cuci; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Makan; R. Jemur; Mushola; R. Santai; Dapur; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Asyaatun Tipe C Cibinong Bogor,Bogor,Rp 700.000,20.0,18,Ekonomis,4 x 5 meter; Tidak termasuk listrik; Kasur; Bantal; Kloset Duduk; Ember mandi; Shower; WiFi; R. Cuci; R. Tamu; Laundry; R. Makan; R. Jemur; R. Santai; R. Keluarga; Balcon; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost At Taqwa 90 Jatisampurna Bekasi,Bogor,Rp 750.000,12.0,16,Ekonomis,3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Dapur Pribadi; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; R. Tamu; R. Jemur; Jemuran; Pengurus Kos; Parkir Motor; Parkir Sepeda
Kost At Thohiroh Tipe B Dramaga Bogor,Bogor,Rp 1.500.000,20.0,19,Standar,4 x 5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; Dapur; Dispenser; CCTV; Jemuran; Locker; Parkir Motor
Kost Athar 07 Larangan Tangerang,Tangerang,Rp 1.400.000,12.0,22,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Jemur; R. Makan; Dapur; Jemuran; K. Mandi Luar; Pengurus Kos; TV; Taman; Parkir Motor
Kost Aurelia 3 Tipe A Cikarang Selatan Bekasi,Bekasi,Rp 1.750.000,9.0,15,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; Kursi; Kloset Duduk; Shower; WiFi; Kulkas; Laundry; R. Jemur; Dapur; K. Mandi Luar
Kost Aurelia 5 Tipe A Cikarang Selatan Bekasi,Bekasi,Rp 1.600.000,9.0,19,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; WiFi; Kulkas; Penjaga Kos; R. Jemur; Dapur; Parkir Mobil; Parkir Motor
Kost Aurelia Tipe B Cikarang Selatan Bekasi,Bekasi,Rp 1.400.000,9.0,15,Standar,3 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; Dapur; Parkir Mobil; Parkir Motor
Kost Ava Guest Ancol Pademangan Jakarta Utara,Jakarta Utara,Rp 1.300.000,9.0,21,Premium,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; TV; Ventilasi; Bantal; Cermin; Cleaning service; Jendela; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Penjaga Kos; Dispenser; CCTV; Pengurus Kos; Kartu Akses; Parkir Mobil; Parkir Motor
Kost Azalia Tipe B Gunung Putri Bogor,Bogor,Rp 1.500.000,12.0,25,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Jendela; Kursi; TV Kabel; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Mesin Cuci; Penjaga Kos; R. Tamu; Dapur; Dispenser; Balcon; Jemuran; K. Mandi Luar; Parkir Mobil; Parkir Motor & Sepeda
Kost Azzahra 1 Tipe A Dramaga Bogor,Bogor,Rp 1.200.000,9.0,25,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Jendela; Guling; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Shower; WiFi; Kulkas; Penjaga Kos; R. Tamu; R. Santai; Dapur; CCTV; Jemuran; Rice Cooker; TV; Parkir Mobil; Parkir Motor
Kost Azzahra 1 Tipe Berdua Dramaga Bogor,Bogor,Rp 1.200.000,13.5,22,Ekonomis,3 x 4.5 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Guling; Bantal; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; Shower; Kulkas; Penjaga Kos; R. Tamu; R. Santai; Dapur; CCTV; Jemuran; Rice Cooker; TV; Parkir Mobil; Parkir Motor
Kost B Tipe A Kebon Jeruk Jakarta Barat,Jakarta Barat,Rp 1.500.000,12.0,21,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; Laundry; R. Santai; Dapur; Dispenser; TV; R. Keluarga; Parkir Mobil; Parkir Motor
Kost Bagja Cibinong Bogor,Bogor,Rp 900.000,6.0,14,Ekonomis,2 x 3 meter; Termasuk listrik; AC; Kasur; Ventilasi; Jendela; Kloset Jongkok; K. Mandi Luar; Ember mandi; Bak mandi; R. Jemur; Dapur; Taman; Balcon; Parkir Mobil; Parkir Motor
Kost Bagus 2 Bsd Tipe Executive Serpong Tangerang Selatan,Tangerang Selatan,Rp 1.150.001,9.0,26,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; R. Cuci; R. Jemur; R. Makan; R. Santai; Dapur; Jemuran; Pengurus Kos; Rooftop; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Bambon Tipe 1 Beji Depok,Depok,Rp 1.350.000,16.0,21,Standar,4 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Kursi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; Kulkas; R. Jemur; R. Santai; Gazebo; Balcon; CCTV; Pengurus Kos; Parkir Motor; Parkir Motor & Sepeda
Kost Bandengan Tipe A Penjaringan Jakarta Utara,Jakarta Utara,Rp 750.000,6.0,10,Ekonomis,2 x 3 meter; Tidak termasuk listrik; Kasur; Bantal; Kloset Jongkok; K. Mandi Luar; Ember mandi; WiFi; R. Cuci; R. Jemur; Jemuran; Parkir Motor
Kost Banding 2 Tipe A Tangerang,Tangerang,Rp 1.500.000,12.0,22,Standar,3 x 4 meter; Termasuk listrik; AC; Kasur; Dispenser; Meja; TV; Lemari Baju; Bantal; Cermin; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; WiFi; Penjaga Kos; R. Tamu; R. Jemur; Balcon; Jemuran; Jual Makanan; Parkir Motor
Kost Barata AC Syariah Koja Jakarta Utara,Jakarta Utara,Rp 1.300.000,12.0,27,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kursi; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Balcon; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Barata Kipas Syariah Koja Jakarta Utara,Jakarta Utara,Rp 900.000,12.0,26,Ekonomis,3 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Bantal; Cermin; Guling; Jendela; Kipas Angin; Kloset Duduk; K. Mandi Luar; Ember mandi; Shower; WiFi; Kulkas; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Balcon; CCTV; Jemuran; Parkir Mobil; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Barito Babakan Madang Bogor,Bogor,Rp 1.350.000,12.0,26,Premium,3 x 4 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kloset Duduk; Ember mandi; Shower; Air panas; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Dispenser; Parkir Mobil; Parkir Motor
Kost Baru Homi Residence Benda Tangerang,Tangerang,Rp 1.400.000,12.0,13,Premium,3 x 4 meter; Tidak termasuk listrik; AC; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Laundry; Dapur; Dispenser; TV; CCTV; Parkir Mobil
Kost Baru Tangcity Kayana Residence Tipe C Tangerang Tangerang,Tangerang,Rp 2.550.000,11.100000000000001,25,Premium,3 x 3.7 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Ventilasi; Bantal; Cermin; Cleaning service; Guling; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; R. Cuci; Laundry; Mesin Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Parkir Motor
Kost Baru Tipe A Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 1.650.000,7.0,16,Standar,2 x 3.5 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Cermin; Kursi; Wastafel; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Santai; CCTV; Pengurus Kos; Parkir Mobil; Parkir Motor
Kost Bawal Asri Tipe B Pulo Gadung Jakarta Timur,Jakarta Timur,Rp 1.500.000,3.0,26,Premium,2 x 1.5 meter; Termasuk listrik; AC; Kasur; Meja Rias; Lemari Baju; Bantal; Cermin; Guling; Kursi; Kloset Duduk; K. Mandi Luar; Ember mandi; Wastafel; Shower; Air panas; WiFi; Kulkas; R. Cuci; Laundry; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Parkir Motor; Parkir Motor & Sepeda
Kost Bayem I Gunung Putri Bogor,Bogor,Rp 1.500.000,21.0,22,Standar,3 x 7 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Shower; WiFi; Laundry; R. Jemur; R. Santai; Jemuran; Joglo; Pengurus Kos; Parkir Mobil; Parkir Motor
Kost Behomy Suite Cibinong Bogor,Bogor,Rp 2.250.000,12.0,26,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Bantal; Cermin; Guling; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; R. Cuci; Laundry; Mesin Cuci; Penjaga Kos; R. Jemur; Dapur; Dispenser; CCTV; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Belawan Tipe Standard Babakan Madang Bogor,Bogor,Rp 1.500.000,6.0,17,Standar,2 x 3 meter; Termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; R. Makan; Dapur; Dispenser; Balcon; Taman; Parkir Motor & Sepeda
Kost Belimbing Beji Depok,Depok,Rp 1.200.000,9.0,24,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Shower; WiFi; Kulkas; R. Cuci; Mesin Cuci; R. Jemur; R. Santai; Dapur; CCTV; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Bening At Cempaka Cipondoh Tangerang,Tangerang,Rp 1.650.000,12.0,17,Standar,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Cermin; Jendela; K. Mandi Dalam; Kloset Duduk; K. Mandi Luar; Shower; WiFi; Kulkas; R. Makan; R. Santai; Dapur; CCTV; Parkir Motor & Sepeda
Kost Bening Executive Cipondoh Tangerang,Tangerang,Rp 1.650.000,12.0,13,Ekonomis,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Lemari Baju; Cermin; Jendela; Kursi; Kloset Duduk; Shower; Kulkas; R. Santai; Dapur; CCTV; Parkir Motor & Sepeda
Kost Benosa Deluxe Serpong Tangerang Selatan,Tangerang Selatan,Rp 1.300.000,9.0,22,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Cermin; Jendela; Kipas Angin; Kursi; Kloset Duduk; K. Mandi Luar; Wastafel; Shower; WiFi; Penjaga Kos; R. Jemur; Jemuran; R. Keluarga; Taman; Parkir Mobil; Parkir Motor; Parkir Sepeda
Kost Benteng Gading Tipe B Beji Depok,Depok,Rp 900.000,12.5,17,Ekonomis,2.5 x 5 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; K. Mandi Dalam; Kloset Duduk; Kloset Jongkok; WiFi; Kulkas; R. Cuci; Penjaga Kos; R. Tamu; R. Jemur; R. Makan; R. Santai; Dapur; Jemuran; Parkir Motor
Kost Bersih Ibu Ning Standard Tapos Depok,Depok,Rp 1.430.000,12.0,26,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Meja Rias; Lemari Baju; Bantal; Cermin; Guling; Jendela; Dapur Pribadi; K. Mandi Dalam; Kloset Duduk; Shower; Air panas; WiFi; Kulkas; Laundry; Penjaga Kos; R. Santai; Dapur; Dispenser; Balcon; CCTV; Taman; Parkir Mobil; Parkir Motor
Kost Bersih Ibu Sri Tipe Standard Tapos Depok,Depok,Rp 750.000,9.0,22,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Dispenser; Meja Rias; Lemari Baju; Ventilasi; Cermin; Bantal; Guling; Jendela; Kipas Angin; Kloset Jongkok; K. Mandi Luar; Shower; R. Cuci; R. Jemur; Dapur; Balcon; Gazebo; Jemuran; Joglo; Parkir Motor; Parkir Sepeda
Kost Bersih Nyaman Tipe A Cikarang Pusat Bekasi,Bekasi,Rp 1.000.000,9.0,25,Standar,3 x 3 meter; Tidak termasuk listrik; AC; Kasur; Meja; Kulkas; Lemari Baju; Ventilasi; Bantal; Cermin; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; Wastafel; Shower; WiFi; R. Cuci; Penjaga Kos; R. Jemur; Dapur; Dispenser; Jemuran; Pengurus Kos; Parkir Mobil; Parkir Motor
Kost Bertus 39 Tipe AC Pulo Gadung Jakarta Timur,Jakarta Timur,Rp 1.350.000,16.0,25,Ekonomis,4 x 4 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Kursi; Kipas Angin; Bantal; Jendela; Guling; Cleaning service; K. Mandi Dalam; Kloset Jongkok; Ember mandi; Wastafel; WiFi; R. Tamu; R. Jemur; R. Santai; Dispenser; Jemuran; Balcon; Pengurus Kos; Locker; Parkir Motor; Parkir Sepeda
Kost Bidan Enung Nurjanah Tipe A Tambun Selatan Bekasi,Bekasi,Rp 750.000,14.0,21,Ekonomis,3.5 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Penjaga Kos; R. Jemur; Balcon; CCTV; Jemuran; Jual Makanan; Parkir Motor
Kost Bidan Enung Nurjanah Tipe A Tambun Selatan Bekasi,Bekasi,Rp 750.000,14.0,21,Ekonomis,3.5 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Penjaga Kos; R. Jemur; Balcon; CCTV; Jemuran; Jual Makanan; Parkir Motor
Kost Bidan Enung Nurjanah Tipe A Tambun Selatan Bekasi,Bekasi,Rp 750.000,14.0,21,Ekonomis,3.5 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Penjaga Kos; R. Jemur; Balcon; CCTV; Jemuran; Jual Makanan; Parkir Motor
Kost Bidan Enung Nurjanah Tipe A Tambun Selatan Bekasi,Bekasi,Rp 750.000,14.0,21,Ekonomis,3.5 x 4 meter; Termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Cermin; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; Penjaga Kos; R. Jemur; Balcon; CCTV; Jemuran; Jual Makanan; Parkir Motor
Kost Billabong Tipe A Bojong Gede Bogor,Bogor,Rp 1.300.000,21.0,24,Ekonomis,3 x 7 meter; Tidak termasuk listrik; Kasur; Meja; Dispenser; TV; Lemari Baju; Kulkas; Ventilasi; Kursi; Bantal; Cermin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; Laundry; Mesin Cuci; Penjaga Kos; R. Jemur; Mushola; Dapur; Taman; Parkir Motor; Parkir Sepeda
Kost Billabong Tipe Standart Bojong Gede Bogor,Bogor,Rp 1.200.000,21.0,24,Ekonomis,3 x 7 meter; Tidak termasuk listrik; Kasur; Meja; Dispenser; TV; Lemari Baju; Kulkas; Ventilasi; Kursi; Bantal; Cermin; K. Mandi Dalam; Kloset Jongkok; Ember mandi; WiFi; R. Cuci; Laundry; Mesin Cuci; Penjaga Kos; R. Jemur; Mushola; Dapur; Taman; Parkir Motor; Parkir Sepeda
Kost Bina Berkat 1 Tipe A Tanjung Priok Jakarta Utara,Jakarta Utara,Rp 2.000.000,12.0,25,Premium,3 x 4 meter; Tidak termasuk listrik; AC; Kasur; Meja; Lemari Baju; Bantal; Guling; Jendela; Kursi; K. Mandi Dalam; Kloset Duduk; Ember mandi; Shower; Air panas; WiFi; Kulkas; R. Cuci; Mesin Cuci; Penjaga Kos; R. Jemur; R. Makan; Dapur; Balcon; CCTV; Parkir Motor; Parkir Sepeda
Kost Bintang Dramaga Bogor,Bogor,Rp 850.000,9.0,25,Ekonomis,3 x 3 meter; Tidak termasuk listrik; Kasur; Meja; Lemari Baju; Ventilasi; Bantal; Guling; Jendela; Kipas Angin; Kursi; K. Mandi Dalam; Kloset Duduk; Shower; WiFi; R. Cuci; Laundry; Penjaga Kos; R. Jemur; Dapur; Balcon; CCTV; Gazebo; Jemuran; Parkir Motor; Parkir Sepeda; Parkir Motor & Sepeda
Kost Bintang Residence Beji Depok,Depok,Rp 1.500.000,21.0,26,Standar,3 x 7 meter; Termasuk listrik; AC; Kasur; Meja; TV; Lemari Baju; Kursi; Cleaning service; Bantal; Dapur Pribadi; Guling; K. Mandi Dalam; Kloset Duduk; Wastafel; Shower; WiFi; Kulkas; R. Tamu; Penjaga Kos; R. Makan; R. Jemur; R. Santai; Dapur; Taman; Gazebo; Parkir Motor; Parkir Sepeda
